Date,Time,Fatalities,Israel Date,Israel Time
08-Feb-93,14:16,Fatalities: 131 / Occupants: 131,08/02/1993,12:46:00
05-Mar-93,11:12,Fatalities: 83 / Occupants: 97,05/03/1993,12:12:00
26-Apr-93,13:06,Fatalities: 55 / Occupants: 118,26/04/1993,21:06:00
19-May-93,15:06,Fatalities: 132 / Occupants: 132,19/05/1993,23:06:00
23-Jul-93,15:40,Fatalities: 56 / Occupants: 113,23/07/1993,10:40:00
26-Jul-93,15:48,Fatalities: 68 / Occupants: 116,26/07/1993,9:48:00
28-Aug-93,10:46,Fatalities: 82 / Occupants: 86,28/08/1993,8:46:00
22-Sep-93,18:30,Fatalities: 108 / Occupants: 132,22/09/1993,22:30:00
20-Nov-93,23:30,Fatalities: 116 / Occupants: 116,21/11/1993,0:30:00
03-Jan-94,12:08,Fatalities: 124 / Occupants: 124,03/01/1994,14:08:00
23-Mar-94,0:57,Fatalities: 75 / Occupants: 75,23/03/1994,2:57:00
26-Apr-94,20:16,Fatalities: 264 / Occupants: 271,26/04/1994,14:16:00
06-Jun-94,8:22,Fatalities: 160 / Occupants: 160,06/06/1994,3:22:00
01-Jul-94,8:30,Fatalities: 80 / Occupants: 93,01/07/1994,11:30:00
08-Sep-94,19:03,Fatalities: 132 / Occupants: 132,09/09/1994,6:03:00
12-Oct-94,23:05,Fatalities: 66 / Occupants: 66,12/10/1994,21:35:00
31-Oct-94,15:59,Fatalities: 68 / Occupants: 68,01/11/1994,3:59:00
10-Jan-95,19:38,Fatalities: 51 / Occupants: 52,11/01/1995,2:38:00
31-Mar-95,9:08,Fatalities: 60 / Occupants: 60,31/03/1995,10:08:00
09-Aug-95,20:14,Fatalities: 65 / Occupants: 65,10/08/1995,5:14:00
08-Nov-95,21:00,Fatalities: 53 / Occupants: 53,09/11/1995,2:00:00
22-Nov-95,17:20,Fatalities: 62 / Occupants: 62,22/11/1995,14:20:00
03-Dec-95,22:44,Fatalities: 71 / Occupants: 76,03/12/1995,23:44:00
05-Dec-95,17:54,Fatalities: 52 / Occupants: 82,05/12/1995,15:54:00
07-Dec-95,3:08,Fatalities: 98 / Occupants: 98,07/12/1995,5:08:00
20-Dec-95,21:38,Fatalities: 159 / Occupants: 163,21/12/1995,4:38:00
08-Jan-96,12:43,Fatalities: 237 / Occupants: 6,08/01/1996,13:43:00
06-Feb-96,23:47,Fatalities: 189 / Occupants: 189,06/02/1996,19:47:00
26-Feb-96,18:55,Fatalities: 91 / Occupants: 91,26/02/1996,18:55:00
29-Feb-96,20:36,Fatalities: 123 / Occupants: 123,01/03/1996,3:36:00
11-May-96,14:13,Fatalities: 110 / Occupants: 110,12/05/1996,2:13:00
17-Jul-96,20:31,Fatalities: 230 / Occupants: 230,18/07/1996,8:31:00
29-Aug-96,10:22,Fatalities: 141 / Occupants: 141,29/08/1996,12:22:00
02-Oct-96,1:11,Fatalities: 70 / Occupants: 70,01/10/1996,21:11:00
31-Oct-96,8:27,Fatalities: 95 / Occupants: 95,31/10/1996,15:27:00
07-Nov-96,17:03,Fatalities: 144 / Occupants: 144,07/11/1996,18:03:00
12-Nov-96,18:40,Fatalities: 37 / Occupants: 37,13/11/1996,1:40:00
12-Nov-96,18:40,Fatalities: 312 / Occupants: 312,13/11/1996,1:40:00
23-Nov-96,15:15,Fatalities: 125 / Occupants: 175,23/11/1996,14:15:00
13-Mar-97,18:00,Fatalities: 86 / Occupants: 86,13/03/1997,16:30:00
18-Mar-97,10:03,Fatalities: 50 / Occupants: 50,18/03/1997,12:03:00
06-Aug-97,1:42,Fatalities: 228 / Occupants: 254,05/08/1997,18:42:00
03-Sep-97,14:00,Fatalities: 65 / Occupants: 66,03/09/1997,10:00:00
26-Sep-97,13:34,Fatalities: 234 / Occupants: 234,26/09/1997,8:34:00
10-Oct-97,22:10,Fatalities: 74 / Occupants: 74,11/10/1997,3:10:00
06-Dec-97,14:42,Fatalities: 23 / Occupants: 23,06/12/1997,16:42:00
15-Dec-97,18:35,Fatalities: 85 / Occupants: 86,15/12/1997,16:35:00
17-Dec-97,21:12,Fatalities: 70 / Occupants: 70,17/12/1997,21:12:00
19-Dec-97,16:13,Fatalities: 104 / Occupants: 104,19/12/1997,11:13:00
13-Jan-98,22:00,Fatalities: 51 / Occupants: 51,13/01/1998,19:00:00
02-Feb-98,11:00,Fatalities: 104 / Occupants: 104,02/02/1998,5:00:00
16-Feb-98,20:05,Fatalities: 196 / Occupants: 196,16/02/1998,14:05:00
20-Apr-98,16:45,Fatalities: 53 / Occupants: 53,21/04/1998,0:45:00
05-May-98,21:30,Fatalities: 75 / Occupants: 88,06/05/1998,5:30:00
29-Aug-98,13:03,Fatalities: 70 / Occupants: 91,29/08/1998,21:03:00
02-Sep-98,21:31,Fatalities: 229 / Occupants: 229,03/09/1998,3:31:00
29-Sep-98,13:54,Fatalities: 55 / Occupants: 55,29/09/1998,10:54:00
11-Dec-98,19:08,Fatalities: 101 / Occupants: 146,11/12/1998,14:08:00
24-Feb-99,16:34,Fatalities: 61 / Occupants: 61,24/02/1999,10:34:00
31-Aug-99,20:54,Fatalities: 63 / Occupants: 100,01/09/1999,2:54:00
31-Oct-99,1:52,Fatalities: 217 / Occupants: 217,30/10/1999,21:52:00
30-Jan-00,21:09,Fatalities: 169 / Occupants: 179,30/01/2000,23:09:00
31-Jan-00,16:20,Fatalities: 88 / Occupants: 88,01/02/2000,4:20:00
19-Apr-00,7:00,Fatalities: 131 / Occupants: 131,19/04/2000,2:00:00
17-Jul-00,7:34,Fatalities: 55 / Occupants: 58,17/07/2000,15:34:00
25-Jul-00,16:44,Fatalities: 109 / Occupants: 109,25/07/2000,18:44:00
23-Aug-00,19:30,Fatalities: 143 / Occupants: 143,23/08/2000,19:30:00
25-Oct-00,18:15,Fatalities: 84 / Occupants: 84,25/10/2000,22:15:00
31-Oct-00,23:18,Fatalities: 83 / Occupants: 179,31/10/2000,17:18:00
15-Nov-00,13:03,Fatalities: 57 / Occupants: 57,15/11/2000,14:03:00
04-Jul-01,2:08,Fatalities: 145 / Occupants: 145,04/07/2001,5:08:00
11-Sep-01,9:40,Fatalities: 64 / Occupants: 64,11/09/2001,21:40:00
11-Sep-01,9:03,Fatalities: 65 / Occupants: 65,11/09/2001,21:03:00
11-Sep-01,8:46,Fatalities: 92 / Occupants: 92,11/09/2001,20:46:00
04-Oct-01,13:45,Fatalities: 78 / Occupants: 78,04/10/2001,9:45:00
08-Oct-01,8:10,Fatalities: 4 / Occupants: 4,08/10/2001,9:10:00
08-Oct-01,8:10,Fatalities: 110 / Occupants: 110,08/10/2001,9:10:00
12-Nov-01,9:16,Fatalities: 260 / Occupants: 260,12/11/2001,21:16:00
28-Jan-02,10:24,Fatalities: 94 / Occupants: 94,28/01/2002,17:24:00
12-Feb-02,7:30,Fatalities: 119 / Occupants: 119,12/02/2002,6:00:00
15-Apr-02,11:21,Fatalities: 129 / Occupants: 166,15/04/2002,5:21:00
04-May-02,13:35,Fatalities: 73 / Occupants: 77,04/05/2002,15:35:00
07-May-02,21:32,Fatalities: 112 / Occupants: 112,07/05/2002,16:32:00
25-May-02,15:30,Fatalities: 225 / Occupants: 225,25/05/2002,12:30:00
01-Jul-02,23:35,Fatalities: 2 / Occupants: 2,02/07/2002,1:35:00
01-Jul-02,23:35,Fatalities: 69 / Occupants: 69,02/07/2002,1:35:00
08-Jan-03,18:43,Fatalities: 75 / Occupants: 80,08/01/2003,19:43:00
19-Feb-03,18:24,Fatalities: 275 / Occupants: 275,19/02/2003,16:54:00
06-Mar-03,15:15,Fatalities: 102 / Occupants: 103,06/03/2003,16:15:00
26-May-03,4:12,Fatalities: 75 / Occupants: 75,26/05/2003,4:12:00
08-Jul-03,4:17,Fatalities: 116 / Occupants: 117,08/07/2003,5:17:00
25-Dec-03,14:59,Fatalities: 141 / Occupants: 163,25/12/2003,15:59:00
03-Jan-04,4:45,Fatalities: 148 / Occupants: 148,03/01/2004,4:45:00
21-Nov-04,8:20,Fatalities: 53 / Occupants: 53,21/11/2004,2:20:00
03-Feb-05,15:15,Fatalities: 105 / Occupants: 105,03/02/2005,13:15:00
16-Jul-05,10:00,Fatalities: 60 / Occupants: 60,16/07/2005,12:00:00
14-Aug-05,12:03,Fatalities: 121 / Occupants: 121,14/08/2005,13:03:00
16-Aug-05,3:00,Fatalities: 160 / Occupants: 160,16/08/2005,10:00:00
05-Sep-05,10:15,Fatalities: 100 / Occupants: 117,05/09/2005,6:15:00
22-Oct-05,20:40,Fatalities: 117 / Occupants: 117,22/10/2005,21:40:00
06-Dec-05,14:10,Fatalities: 94 / Occupants: 94,06/12/2005,12:40:00
10-Dec-05,14:08,Fatalities: 108 / Occupants: 110,10/12/2005,15:08:00
03-May-06,2:13,Fatalities: 113 / Occupants: 113,03/05/2006,5:13:00
09-Jul-06,7:44,Fatalities: 125 / Occupants: 203,09/07/2006,10:44:00
22-Aug-06,15:39,Fatalities: 170 / Occupants: 170,22/08/2006,16:39:00
29-Sep-06,16:57,Fatalities: 0 / Occupants: 7,30/09/2006,0:57:00
29-Sep-06,16:57,Fatalities: 154 / Occupants: 154,30/09/2006,0:57:00
29-Oct-06,11:30,Fatalities: 96 / Occupants: 105,29/10/2006,12:30:00
01-Jan-07,14:59,Fatalities: 102 / Occupants: 102,01/01/2007,9:59:00
05-May-07,0:08,Fatalities: 114 / Occupants: 114,05/05/2007,2:08:00
17-Jul-07,18:54,Fatalities: 187 / Occupants: 187,18/07/2007,2:54:00
16-Sep-07,15:40,Fatalities: 90 / Occupants: 130,16/09/2007,10:40:00
30-Nov-07,1:36,Fatalities: 57 / Occupants: 57,30/11/2007,1:36:00
20-Aug-08,14:24,Fatalities: 154 / Occupants: 172,20/08/2008,16:24:00
24-Aug-08,20:45,Fatalities: 65 / Occupants: 90,24/08/2008,17:45:00
14-Sep-08,3:10,Fatalities: 88 / Occupants: 88,14/09/2008,6:10:00
12-Feb-09,22:17,Fatalities: 49 / Occupants: 49,13/02/2009,10:17:00
20-May-09,6:30,Fatalities: 97 / Occupants: 112,20/05/2009,2:30:00
01-Jun-09,0:14,Fatalities: 228 / Occupants: 228,31/05/2009,21:14:00
30-Jun-09,1:54,Fatalities: 152 / Occupants: 153,30/06/2009,1:54:00
15-Jul-09,11:53,Fatalities: 168 / Occupants: 168,15/07/2009,10:23:00
25-Jan-10,2:41,Fatalities: 90 / Occupants: 90,25/01/2010,2:41:00
10-Apr-10,10:41,Fatalities: 96 / Occupants: 96,10/04/2010,13:41:00
12-May-10,6:01,Fatalities: 103 / Occupants: 104,12/05/2010,7:01:00
22-May-10,6:05,Fatalities: 158 / Occupants: 166,22/05/2010,13:05:00
28-Jul-10,9:41,Fatalities: 152 / Occupants: 152,28/07/2010,7:41:00
04-Nov-10,17:51,Fatalities: 68 / Occupants: 68,05/11/2010,0:51:00
09-Jan-11,19:31,Fatalities: 78 / Occupants: 105,09/01/2011,18:01:00
08-Jul-11,15:11,Fatalities: 77 / Occupants: 115,08/07/2011,14:11:00
26-Jul-11,9:00,Fatalities: 80 / Occupants: 80,26/07/2011,11:00:00
20-Apr-12,18:40,Fatalities: 127 / Occupants: 127,20/04/2012,16:40:00
03-Jun-12,15:45,Fatalities: 153 / Occupants: 153,03/06/2012,17:45:00
17-Nov-13,19:23,Fatalities: 50 / Occupants: 50,17/11/2013,21:23:00
11-Feb-14,11:38,Fatalities: 76 / Occupants: 77,11/02/2014,12:38:00
08-Mar-14,8:11,Fatalities: 239 / Occupants: 239,08/03/2014,4:11:00
17-Jul-14,16:20,Fatalities: 298 / Occupants: 298,17/07/2014,17:20:00
24-Jul-14,1:47,Fatalities: 116 / Occupants: 116,24/07/2014,4:47:00
28-Dec-14,6:18,Fatalities: 162 / Occupants: 162,28/12/2014,1:18:00
24-Mar-15,10:41,Fatalities: 150 / Occupants: 150,24/03/2015,11:41:00
30-Jun-15,11:50,Fatalities: 122 / Occupants: 122,30/06/2015,7:50:00
16-Aug-15,14:55,Fatalities: 54 / Occupants: 54,16/08/2015,10:55:00
31-Oct-15,6:13,Fatalities: 224 / Occupants: 224,31/10/2015,6:13:00
19-Mar-16,3:42,Fatalities: 62 / Occupants: 62,19/03/2016,5:42:00
19-May-16,2:36,Fatalities: 66 / Occupants: 66,19/05/2016,2:36:00
28-Nov-16,21:58,Fatalities: 71 / Occupants: 77,29/11/2016,4:58:00
25-Dec-16,5:27,Fatalities: 92 / Occupants: 92,25/12/2016,7:27:00
07-Jun-17,13:35,Fatalities: 122 / Occupants: 122,07/06/2017,10:35:00
11-Feb-18,14:27,Fatalities: 71 / Occupants: 71,11/02/2018,16:27:00
18-Feb-18,9:32,Fatalities: 66 / Occupants: 66,18/02/2018,8:02:00
12-Mar-18,14:19,Fatalities: 51 / Occupants: 71,12/03/2018,11:19:00
11-Apr-18,8:00,Fatalities: 257 / Occupants: 257,11/04/2018,10:00:00
18-May-18,12:10,Fatalities: 112 / Occupants: 113,18/05/2018,19:10:00
29-Oct-18,6:30,Fatalities: 189 / Occupants: 189,29/10/2018,1:30:00
10-Mar-19,8:44,Fatalities: 157 / Occupants: 157,10/03/2019,7:44:00
08-Jan-20,6:18,Fatalities: 176 / Occupants: 176,08/01/2020,4:48:00
22-May-20,14:40,Fatalities: 97 / Occupants: 99,22/05/2020,12:40:00
09-Jan-21,14:40,Fatalities: 62 / Occupants: 62,09/01/2021,9:40:00
04-Jul-21,11:30,Fatalities: 50 / Occupants: 96,04/07/2021,6:30:00
21-Mar-22,6:22,Fatalities: 132 / Occupants: 132,21/03/2022,0:22:00
15-Jan-23,10:57,Fatalities: 72 / Occupants: 72,15/01/2023,7:57:00
09-Aug-24,c. 13:22 LT,Fatalities: 62 / Occupants: 62,09/08/2024,21:22:00
