Date,Time,Fatalities,IsraelDate,IsraelTime
Date,Time,Fatalities,IsraelDate
08/02/1993,14:16,Fatalities: 131 / Occupants: 131,IsraelDate
05/03/1993,11:12,Fatalities: 83 / Occupants: 97,IsraelDate
26/04/1993,13:06,Fatalities: 55 / Occupants: 118,IsraelDate
27/04/1993,,Fatalities: 76 / Occupants: 76,IsraelDate
19/05/1993,15:06,Fatalities: 132 / Occupants: 132,IsraelDate
23/07/1993,15:40,Fatalities: 56 / Occupants: 113,IsraelDate
26/07/1993,15:48,Fatalities: 68 / Occupants: 116,IsraelDate
28/08/1993,10:46,Fatalities: 82 / Occupants: 86,IsraelDate
22/09/1993,18:30,Fatalities: 108 / Occupants: 132,IsraelDate
20/11/1993,23:30,Fatalities: 116 / Occupants: 116,IsraelDate
03/01/1994,12:08,Fatalities: 124 / Occupants: 124,IsraelDate
23/03/1994,0:57,Fatalities: 75 / Occupants: 75,IsraelDate
26/04/1994,20:16,Fatalities: 264 / Occupants: 271,IsraelDate
06/06/1994,8:22,Fatalities: 160 / Occupants: 160,IsraelDate
01/07/1994,8:30,Fatalities: 80 / Occupants: 93,IsraelDate
08/09/1994,19:03,Fatalities: 132 / Occupants: 132,IsraelDate
12/10/1994,23:05,Fatalities: 66 / Occupants: 66,IsraelDate
31/10/1994,15:59,Fatalities: 68 / Occupants: 68,IsraelDate
29/12/1994,15:30,Fatalities: 57 / Occupants: 76,IsraelDate
10/01/1995,19:38,Fatalities: 51 / Occupants: 52,IsraelDate
31/03/1995,9:08,Fatalities: 60 / Occupants: 60,IsraelDate
29/04/1995,,Fatalities: 50 / Occupants: 50,IsraelDate
09/08/1995,20:14,Fatalities: 65 / Occupants: 65,IsraelDate
13/09/1995,,Fatalities: 75 / Occupants: 75,IsraelDate
08/11/1995,21:00,Fatalities: 53 / Occupants: 53,IsraelDate
22/11/1995,17:20,Fatalities: 63 / Occupants: 63,IsraelDate
03/12/1995,22:44,Fatalities: 71 / Occupants: 76,IsraelDate
05/12/1995,17:54,Fatalities: 52 / Occupants: 82,IsraelDate
07/12/1995,3:08,Fatalities: 98 / Occupants: 98,IsraelDate
18/12/1995,,Fatalities: 141 / Occupants: 144,IsraelDate
20/12/1995,21:38,Fatalities: 159 / Occupants: 163,IsraelDate
08/01/1996,12:43,Fatalities: 0 / Occupants: 6,IsraelDate
06/02/1996,23:47,Fatalities: 189 / Occupants: 189,IsraelDate
26/02/1996,18:55,Fatalities: 91 / Occupants: 91,IsraelDate
29/02/1996,20:36,Fatalities: 123 / Occupants: 123,IsraelDate
03/05/1996,,Fatalities: 53 / Occupants: 53,IsraelDate
11/05/1996,14:13,Fatalities: 110 / Occupants: 110,IsraelDate
17/07/1996,20:31,Fatalities: 230 / Occupants: 230,IsraelDate
29/08/1996,10:22,Fatalities: 141 / Occupants: 141,IsraelDate
02/10/1996,1:11,Fatalities: 70 / Occupants: 70,IsraelDate
31/10/1996,8:27,Fatalities: 95 / Occupants: 95,IsraelDate
07/11/1996,17:03,Fatalities: 144 / Occupants: 144,IsraelDate
12/11/1996,18:40,Fatalities: 37 / Occupants: 37,IsraelDate
12/11/1996,18:40,Fatalities: 312 / Occupants: 312,IsraelDate
23/11/1996,15:15,Fatalities: 125 / Occupants: 175,IsraelDate
13/03/1997,18:00,Fatalities: 86 / Occupants: 86,IsraelDate
18/03/1997,10:03,Fatalities: 50 / Occupants: 50,IsraelDate
06/08/1997,1:42,Fatalities: 228 / Occupants: 254,IsraelDate
03/09/1997,14:00,Fatalities: 65 / Occupants: 66,IsraelDate
26/09/1997,13:34,Fatalities: 234 / Occupants: 234,IsraelDate
10/10/1997,22:10,Fatalities: 74 / Occupants: 74,IsraelDate
06/12/1997,14:42,Fatalities: 23 / Occupants: 23,IsraelDate
15/12/1997,18:35,Fatalities: 85 / Occupants: 86,IsraelDate
17/12/1997,21:12,Fatalities: 70 / Occupants: 70,IsraelDate
19/12/1997,16:13,Fatalities: 104 / Occupants: 104,IsraelDate
13/01/1998,22:00,Fatalities: 51 / Occupants: 51,IsraelDate
02/02/1998,11:00,Fatalities: 104 / Occupants: 104,IsraelDate
16/02/1998,20:05,Fatalities: 196 / Occupants: 196,IsraelDate
20/04/1998,16:45,Fatalities: 53 / Occupants: 53,IsraelDate
05/05/1998,21:30,Fatalities: 75 / Occupants: 88,IsraelDate
29/08/1998,13:03,Fatalities: 70 / Occupants: 91,IsraelDate
02/09/1998,21:31,Fatalities: 229 / Occupants: 229,IsraelDate
29/09/1998,13:54,Fatalities: 55 / Occupants: 55,IsraelDate
11/12/1998,19:08,Fatalities: 101 / Occupants: 146,IsraelDate
24/02/1999,16:34,Fatalities: 61 / Occupants: 61,IsraelDate
03/06/1999,,Fatalities: 50 / Occupants: 50,IsraelDate
31/08/1999,20:54,Fatalities: 63 / Occupants: 100,IsraelDate
31/10/1999,1:52,Fatalities: 217 / Occupants: 217,IsraelDate
30/01/2000,21:09,Fatalities: 169 / Occupants: 179,IsraelDate
31/01/2000,16:20,Fatalities: 88 / Occupants: 88,IsraelDate
19/04/2000,7:00,Fatalities: 131 / Occupants: 131,IsraelDate
17/07/2000,7:34,Fatalities: 55 / Occupants: 58,IsraelDate
25/07/2000,16:44,Fatalities: 109 / Occupants: 109,IsraelDate
23/08/2000,19:30,Fatalities: 143 / Occupants: 143,IsraelDate
25/10/2000,18:15,Fatalities: 84 / Occupants: 84,IsraelDate
31/10/2000,23:18,Fatalities: 83 / Occupants: 179,IsraelDate
15/11/2000,13:03,Fatalities: 57 / Occupants: 57,IsraelDate
04/07/2001,2:08,Fatalities: 145 / Occupants: 145,IsraelDate
11/09/2001,9:40,Fatalities: 64 / Occupants: 64,IsraelDate
11/09/2001,9:03,Fatalities: 65 / Occupants: 65,IsraelDate
11/09/2001,8:46,Fatalities: 92 / Occupants: 92,IsraelDate
04/10/2001,13:45,Fatalities: 78 / Occupants: 78,IsraelDate
08/10/2001,8:10,Fatalities: 4 / Occupants: 4,IsraelDate
08/10/2001,8:10,Fatalities: 110 / Occupants: 110,IsraelDate
12/11/2001,9:16,Fatalities: 260 / Occupants: 260,IsraelDate
28/01/2002,10:24,Fatalities: 94 / Occupants: 94,IsraelDate
12/02/2002,7:30,Fatalities: 119 / Occupants: 119,IsraelDate
15/04/2002,11:21,Fatalities: 129 / Occupants: 166,IsraelDate
04/05/2002,13:35,Fatalities: 73 / Occupants: 77,IsraelDate
07/05/2002,21:32,Fatalities: 112 / Occupants: 112,IsraelDate
25/05/2002,15:30,Fatalities: 225 / Occupants: 225,IsraelDate
01/07/2002,23:35,Fatalities: 2 / Occupants: 2,IsraelDate
01/07/2002,23:35,Fatalities: 69 / Occupants: 69,IsraelDate
08/01/2003,18:43,Fatalities: 75 / Occupants: 80,IsraelDate
19/02/2003,18:24,Fatalities: 275 / Occupants: 275,IsraelDate
06/03/2003,15:15,Fatalities: 102 / Occupants: 103,IsraelDate
26/05/2003,4:12,Fatalities: 75 / Occupants: 75,IsraelDate
08/07/2003,4:17,Fatalities: 116 / Occupants: 117,IsraelDate
25/12/2003,14:59,Fatalities: 141 / Occupants: 163,IsraelDate
03/01/2004,4:45,Fatalities: 148 / Occupants: 148,IsraelDate
21/11/2004,8:20,Fatalities: 53 / Occupants: 53,IsraelDate
03/02/2005,15:15,Fatalities: 105 / Occupants: 105,IsraelDate
16/07/2005,10:00,Fatalities: 60 / Occupants: 60,IsraelDate
14/08/2005,12:03,Fatalities: 121 / Occupants: 121,IsraelDate
16/08/2005,3:00,Fatalities: 160 / Occupants: 160,IsraelDate
05/09/2005,10:15,Fatalities: 100 / Occupants: 117,IsraelDate
22/10/2005,20:40,Fatalities: 117 / Occupants: 117,IsraelDate
06/12/2005,14:10,Fatalities: 94 / Occupants: 94,IsraelDate
10/12/2005,14:08,Fatalities: 108 / Occupants: 110,IsraelDate
03/05/2006,2:13,Fatalities: 113 / Occupants: 113,IsraelDate
09/07/2006,7:44,Fatalities: 125 / Occupants: 203,IsraelDate
22/08/2006,15:39,Fatalities: 170 / Occupants: 170,IsraelDate
29/09/2006,16:57,Fatalities: 0 / Occupants: 7,IsraelDate
29/09/2006,16:57,Fatalities: 154 / Occupants: 154,IsraelDate
29/10/2006,11:30,Fatalities: 96 / Occupants: 105,IsraelDate
01/01/2007,14:59,Fatalities: 102 / Occupants: 102,IsraelDate
05/05/2007,0:08,Fatalities: 114 / Occupants: 114,IsraelDate
17/07/2007,18:54,Fatalities: 187 / Occupants: 187,IsraelDate
16/09/2007,15:40,Fatalities: 90 / Occupants: 130,IsraelDate
30/11/2007,1:36,Fatalities: 57 / Occupants: 57,IsraelDate
20/08/2008,14:24,Fatalities: 154 / Occupants: 172,IsraelDate
24/08/2008,20:45,Fatalities: 65 / Occupants: 90,IsraelDate
14/09/2008,3:10,Fatalities: 88 / Occupants: 88,IsraelDate
12/02/2009,22:17,Fatalities: 49 / Occupants: 49,IsraelDate
20/05/2009,6:30,Fatalities: 97 / Occupants: 112,IsraelDate
01/06/2009,0:14,Fatalities: 228 / Occupants: 228,IsraelDate
30/06/2009,1:54,Fatalities: 152 / Occupants: 153,IsraelDate
15/07/2009,11:53,Fatalities: 168 / Occupants: 168,IsraelDate
25/01/2010,2:41,Fatalities: 90 / Occupants: 90,IsraelDate
10/04/2010,10:41,Fatalities: 96 / Occupants: 96,IsraelDate
12/05/2010,6:01,Fatalities: 103 / Occupants: 104,IsraelDate
22/05/2010,6:05,Fatalities: 158 / Occupants: 166,IsraelDate
28/07/2010,9:41,Fatalities: 152 / Occupants: 152,IsraelDate
04/11/2010,17:51,Fatalities: 68 / Occupants: 68,IsraelDate
09/01/2011,19:31,Fatalities: 78 / Occupants: 105,IsraelDate
08/07/2011,15:11,Fatalities: 77 / Occupants: 115,IsraelDate
26/07/2011,9:00,Fatalities: 80 / Occupants: 80,IsraelDate
20/04/2012,18:40,Fatalities: 127 / Occupants: 127,IsraelDate
03/06/2012,15:45,Fatalities: 153 / Occupants: 153,IsraelDate
17/11/2013,19:23,Fatalities: 50 / Occupants: 50,IsraelDate
11/02/2014,11:38,Fatalities: 76 / Occupants: 77,IsraelDate
08/03/2014,8:11,Fatalities: 239 / Occupants: 239,IsraelDate
17/07/2014,16:20,Fatalities: 298 / Occupants: 298,IsraelDate
24/07/2014,1:47,Fatalities: 116 / Occupants: 116,IsraelDate
28/12/2014,6:18,Fatalities: 162 / Occupants: 162,IsraelDate
24/03/2015,10:41,Fatalities: 150 / Occupants: 150,IsraelDate
30/06/2015,11:50,Fatalities: 122 / Occupants: 122,IsraelDate
16/08/2015,14:55,Fatalities: 54 / Occupants: 54,IsraelDate
31/10/2015,6:13,Fatalities: 224 / Occupants: 224,IsraelDate
19/03/2016,3:42,Fatalities: 62 / Occupants: 62,IsraelDate
19/05/2016,2:36,Fatalities: 66 / Occupants: 66,IsraelDate
28/11/2016,21:58,Fatalities: 71 / Occupants: 77,IsraelDate
25/12/2016,5:27,Fatalities: 92 / Occupants: 92,IsraelDate
07/06/2017,13:35,Fatalities: 122 / Occupants: 122,IsraelDate
11/02/2018,14:27,Fatalities: 71 / Occupants: 71,IsraelDate
18/02/2018,9:32,Fatalities: 66 / Occupants: 66,IsraelDate
12/03/2018,14:19,Fatalities: 51 / Occupants: 71,IsraelDate
11/04/2018,8:00,Fatalities: 257 / Occupants: 257,IsraelDate
18/05/2018,12:10,Fatalities: 112 / Occupants: 113,IsraelDate
29/10/2018,6:30,Fatalities: 189 / Occupants: 189,IsraelDate
10/03/2019,8:44,Fatalities: 157 / Occupants: 157,IsraelDate
08/01/2020,6:18,Fatalities: 176 / Occupants: 176,IsraelDate
22/05/2020,14:40,Fatalities: 97 / Occupants: 99,IsraelDate
09/01/2021,14:40,Fatalities: 62 / Occupants: 62,IsraelDate
04/07/2021,11:30,Fatalities: 50 / Occupants: 96,IsraelDate
21/03/2022,6:22,Fatalities: 132 / Occupants: 132,IsraelDate
15/01/2023,10:57,Fatalities: 72 / Occupants: 72,IsraelDate
09/08/2024,c. 13:22 LT,Fatalities: 62 / Occupants: 62,IsraelDate
29/12/2024,09:05 LT,Fatalities: 179 / Occupants: 181,IsraelDate
